Ret.Time,Proc.From,Proc.To,Mass,Area,Height,A/H,Conc.,Mark,Name,Ret. Index
36.554,36.527,36.56,TIC,16204,12988,1.25,0, V ,,
36.563,36.56,36.567,TIC,2691,10548,0.26,0, V ,,
36.662,36.567,36.723,TIC,445301,156069,2.85,0.03, V ,,
36.735,36.723,36.753,TIC,25376,15312,1.66,0, V ,,
36.757,36.753,36.76,TIC,4700,14316,0.33,0, V ,,
36.766,36.76,36.773,TIC,11254,19325,0.58,0, V ,,
36.788,36.773,36.83,TIC,39858,20869,1.91,0, V ,,
36.84,36.83,36.86,TIC,19975,11300,1.77,0, V ,,
36.876,36.86,36.897,TIC,27253,18888,1.44,0, V ,,
36.921,36.897,36.927,TIC,16531,9497,1.74,0, V ,,
36.933,36.927,36.993,TIC,34447,17409,1.98,0, V ,,
36.998,36.993,37.007,TIC,7240,15129,0.48,0, V ,,
37.045,37.007,37.057,TIC,31149,17042,1.83,0, V ,,
37.069,37.057,37.09,TIC,15280,21102,0.72,0, V ,,
37.1,37.09,37.113,TIC,12789,8492,1.51,0, V ,,
37.116,37.113,37.123,TIC,2346,5839,0.4,0, V ,,
37.149,37.123,37.167,TIC,26622,17319,1.54,0, V ,,
37.186,37.167,37.203,TIC,21006,11895,1.77,0, V ,,
37.212,37.203,37.217,TIC,14197,23709,0.6,0, V ,,
37.22,37.217,37.227,TIC,8356,17028,0.49,0, V ,,
37.24,37.227,37.247,TIC,14922,15892,0.94,0, V ,,
37.25,37.247,37.257,TIC,5160,12362,0.42,0, V ,,
37.263,37.257,37.29,TIC,19051,11766,1.62,0, V ,,
37.297,37.29,37.313,TIC,18527,16743,1.11,0, V ,,
37.326,37.313,37.347,TIC,25326,16609,1.52,0, V ,,
37.353,37.347,37.36,TIC,12328,17227,0.72,0, V ,,
37.364,37.36,37.37,TIC,10111,17667,0.57,0, V ,,
37.38,37.37,37.383,TIC,11394,13624,0.84,0, V ,,
37.387,37.383,37.4,TIC,16698,18279,0.91,0, V ,,
37.448,37.4,37.47,TIC,72605,17991,4.04,0.01, V ,,
37.572,37.47,37.653,TIC,779397,223829,3.48,0.05, V ,,
37.657,37.653,37.66,TIC,10122,29447,0.34,0, V ,,
37.676,37.66,37.693,TIC,64079,37985,1.69,0, V ,,
37.699,37.693,37.733,TIC,62938,37652,1.67,0, V ,,
37.757,37.733,37.773,TIC,33751,16688,2.02,0, V ,,
37.778,37.773,37.797,TIC,16349,15967,1.02,0, V ,,
37.803,37.797,37.807,TIC,7072,14988,0.47,0, V ,,
37.826,37.807,37.847,TIC,40565,20364,1.99,0, V ,,
37.85,37.847,37.87,TIC,19727,16973,1.16,0, V ,,
37.882,37.87,37.897,TIC,26849,25989,1.03,0, V ,,
37.903,37.897,37.907,TIC,5740,13224,0.43,0, V ,,
37.91,37.907,37.947,TIC,34485,18070,1.91,0, V ,,
37.97,37.947,37.987,TIC,38453,20305,1.89,0, V ,,
38.01,37.987,38.013,TIC,20937,13313,1.57,0, V ,,
38.033,38.013,38.037,TIC,18843,14188,1.33,0, V ,,
38.042,38.037,38.05,TIC,12500,20228,0.62,0, V ,,
38.069,38.05,38.09,TIC,35468,18988,1.87,0, V ,,
38.099,38.09,38.13,TIC,26954,13595,1.98,0, V ,,
38.143,38.13,38.147,TIC,12301,18710,0.66,0, V ,,
38.156,38.147,38.207,TIC,40758,16949,2.4,0, V ,,
38.216,38.207,38.233,TIC,13665,16542,0.83,0, V ,,
38.249,38.233,38.26,TIC,16524,17036,0.97,0,   ,,
38.265,38.26,38.273,TIC,8376,11548,0.73,0, V ,,
38.279,38.273,38.283,TIC,8018,17011,0.47,0, V ,,
38.288,38.283,38.297,TIC,9596,13964,0.69,0, V ,,
38.3,38.297,38.303,TIC,4244,11777,0.36,0, V ,,
38.306,38.303,38.31,TIC,3965,10496,0.38,0, V ,,
38.313,38.31,38.317,TIC,5235,14976,0.35,0, V ,,
38.327,38.317,38.33,TIC,8963,13558,0.66,0, V ,,
38.346,38.33,38.35,TIC,19352,19374,1,0, V ,,
38.353,38.35,38.36,TIC,10310,21473,0.48,0, V ,,
38.386,38.36,38.397,TIC,42662,26044,1.64,0, V ,,
38.407,38.397,38.41,TIC,13951,18841,0.74,0, V ,,
38.413,38.41,38.423,TIC,13308,16301,0.82,0, V ,,
38.436,38.423,38.443,TIC,19958,21258,0.94,0, V ,,
38.45,38.443,38.467,TIC,22655,23658,0.96,0, V ,,
38.477,38.467,38.48,TIC,12293,18665,0.66,0, V ,,
38.483,38.48,38.487,TIC,5526,13779,0.4,0, V ,,
38.49,38.487,38.513,TIC,24405,19915,1.23,0, V ,,
38.575,38.513,38.653,TIC,420638,125930,3.34,0.03, V ,,
38.66,38.653,38.693,TIC,44339,24957,1.78,0, V ,,
38.708,38.693,38.727,TIC,37075,21142,1.75,0, V ,,
38.755,38.727,38.763,TIC,39112,27890,1.4,0, V ,,
38.765,38.763,38.77,TIC,4232,14340,0.3,0, V ,,
38.809,38.77,38.82,TIC,41007,17932,2.29,0, V ,,
38.845,38.82,38.853,TIC,24661,17096,1.44,0, V ,,
38.898,38.853,38.937,TIC,55959,17173,3.26,0, V ,,
38.943,38.937,38.967,TIC,18604,15592,1.19,0, V ,,
38.977,38.967,38.993,TIC,19648,15631,1.26,0, V ,,
38.999,38.993,39.013,TIC,18758,22778,0.82,0, V ,,
39.039,39.013,39.05,TIC,28782,21560,1.33,0, V ,,
39.066,39.05,39.07,TIC,12539,20281,0.62,0, V ,,
39.09,39.07,39.1,TIC,23051,22210,1.04,0, V ,,
39.106,39.1,39.133,TIC,27284,19892,1.37,0, V ,,
39.137,39.133,39.167,TIC,24244,16786,1.44,0, V ,,
39.202,39.167,39.263,TIC,81378,18381,4.43,0.01, V ,,
39.267,39.263,39.293,TIC,22893,17012,1.35,0, V ,,
39.297,39.293,39.303,TIC,8073,19022,0.42,0, V ,,
39.31,39.303,39.313,TIC,5841,12819,0.46,0, V ,,
39.317,39.313,39.323,TIC,6934,14186,0.49,0, V ,,
39.33,39.323,39.337,TIC,8997,17919,0.5,0, V ,,
39.34,39.337,39.363,TIC,18644,14550,1.28,0, V ,,
39.367,39.363,39.373,TIC,9217,19834,0.46,0, V ,,
39.395,39.373,39.457,TIC,58280,14926,3.9,0, V ,,
39.463,39.457,39.473,TIC,10432,12737,0.82,0, V ,,
39.493,39.473,39.513,TIC,30322,15815,1.92,0, V ,,
39.534,39.513,39.543,TIC,22851,21096,1.08,0, V ,,
39.556,39.543,39.57,TIC,23245,19475,1.19,0, V ,,
39.583,39.57,39.603,TIC,27838,23157,1.2,0, V ,,
39.622,39.603,39.633,TIC,35546,28581,1.24,0, V ,,
39.635,39.633,39.64,TIC,6469,23949,0.27,0, V ,,
39.646,39.64,39.677,TIC,29793,22091,1.35,0, V ,,
39.683,39.677,39.703,TIC,17379,17789,0.98,0, V ,,
39.764,39.703,39.773,TIC,47252,24436,1.93,0,   ,,
39.783,39.773,39.797,TIC,20410,18369,1.11,0, V ,,
39.802,39.797,39.807,TIC,9927,22269,0.45,0, V ,,
39.811,39.807,39.82,TIC,11873,21467,0.55,0, V ,,
39.826,39.82,39.833,TIC,8585,15564,0.55,0, V ,,
39.839,39.833,39.847,TIC,9107,16179,0.56,0, V ,,
39.852,39.847,39.87,TIC,15850,18062,0.88,0, V ,,
39.873,39.87,39.88,TIC,5338,9226,0.58,0, V ,,
39.9,39.88,39.927,TIC,31752,17528,1.81,0, V ,,
39.929,39.927,39.933,TIC,3003,9235,0.33,0, V ,,
39.937,39.933,39.94,TIC,5053,14516,0.35,0, V ,,
39.95,39.94,39.967,TIC,19879,15881,1.25,0, V ,,
39.989,39.967,40.01,TIC,40066,24406,1.64,0, V ,,
40.018,40.01,40.033,TIC,23630,21690,1.09,0, V ,,
40.053,40.033,40.09,TIC,38343,13535,2.83,0, V ,,
40.102,40.09,40.12,TIC,18762,19263,0.97,0, V ,,
40.145,40.12,40.15,TIC,18380,16870,1.09,0, V ,,
40.178,40.15,40.183,TIC,31074,21749,1.43,0, V ,,
40.2,40.183,40.217,TIC,25480,16984,1.5,0, V ,,
40.225,40.217,40.237,TIC,14831,17069,0.87,0, V ,,
40.24,40.237,40.247,TIC,6613,16200,0.41,0, V ,,
40.253,40.247,40.273,TIC,13435,14851,0.9,0, V ,,
40.284,40.273,40.3,TIC,13366,12573,1.06,0, V ,,
40.307,40.3,40.317,TIC,10492,13178,0.8,0, V ,,
40.323,40.317,40.34,TIC,19646,20540,0.96,0, V ,,
40.368,40.34,40.423,TIC,256406,86815,2.95,0.02, V ,,
40.429,40.423,40.46,TIC,44190,34560,1.28,0, V ,,
40.464,40.46,40.47,TIC,7797,15296,0.51,0, V ,,
40.476,40.47,40.517,TIC,46583,26758,1.74,0, V ,,
40.52,40.517,40.527,TIC,7379,15702,0.47,0, V ,,
40.551,40.527,40.58,TIC,37643,20374,1.85,0, V ,,
40.617,40.58,40.637,TIC,39902,22076,1.81,0, V ,,
40.655,40.637,40.687,TIC,39559,19470,2.03,0, V ,,
40.702,40.687,40.707,TIC,16571,19877,0.83,0, V ,,
40.724,40.707,40.743,TIC,27511,17096,1.61,0, V ,,
40.76,40.743,40.777,TIC,30967,23399,1.32,0, V ,,
40.802,40.777,40.81,TIC,21950,20766,1.06,0, V ,,
40.815,40.81,40.853,TIC,38958,19215,2.03,0, V ,,
40.866,40.853,40.907,TIC,55381,20351,2.72,0, V ,,
40.922,40.907,40.93,TIC,21730,22098,0.98,0, V ,,
40.932,40.93,40.967,TIC,33721,25067,1.35,0, V ,,
40.978,40.967,40.983,TIC,18842,23125,0.81,0, V ,,
40.986,40.983,40.99,TIC,8908,24344,0.37,0, V ,,
40.992,40.99,40.997,TIC,7427,23990,0.31,0, V ,,
41,40.997,41.003,TIC,8100,22595,0.36,0, V ,,
41.006,41.003,41.023,TIC,24755,25324,0.98,0, V ,,
41.045,41.023,41.05,TIC,27461,19890,1.38,0, V ,,
41.057,41.05,41.093,TIC,45417,19745,2.3,0, V ,,
41.103,41.093,41.123,TIC,34152,20722,1.65,0, V ,,
41.127,41.123,41.137,TIC,17135,21732,0.79,0, V ,,
41.158,41.137,41.163,TIC,28674,18633,1.54,0, V ,,
41.188,41.163,41.207,TIC,51570,25268,2.04,0, V ,,
41.21,41.207,41.233,TIC,27856,22544,1.24,0, V ,,
41.255,41.233,41.27,TIC,33130,23895,1.39,0, V ,,
41.325,41.27,41.35,TIC,85451,27837,3.07,0.01, V ,,
41.361,41.35,41.39,TIC,41503,24706,1.68,0, V ,,
41.393,41.39,41.403,TIC,10317,14104,0.73,0, V ,,
41.422,41.403,41.467,TIC,50525,21659,2.33,0, V ,,
41.475,41.467,41.48,TIC,9662,16120,0.6,0, V ,,
41.486,41.48,41.527,TIC,37059,22869,1.62,0, V ,,
41.533,41.527,41.547,TIC,19334,21156,0.91,0, V ,,
41.551,41.547,41.557,TIC,8781,16992,0.52,0, V ,,
41.561,41.557,41.567,TIC,6882,16479,0.42,0, V ,,
41.58,41.567,41.587,TIC,23531,36409,0.65,0, V ,,
41.593,41.587,41.64,TIC,67927,28676,2.37,0, V ,,
41.652,41.64,41.687,TIC,58251,28433,2.05,0, V ,,
41.691,41.687,41.697,TIC,10766,23246,0.46,0, V ,,
41.723,41.697,41.737,TIC,52572,28684,1.83,0, V ,,
41.747,41.737,41.75,TIC,16218,20072,0.81,0, V ,,
41.753,41.75,41.757,TIC,8863,22108,0.4,0, V ,,
41.758,41.757,41.8,TIC,57557,26607,2.16,0, V ,,
41.838,41.8,41.853,TIC,83830,37146,2.26,0.01, V ,,
41.856,41.853,41.86,TIC,9023,24284,0.37,0, V ,,
41.864,41.86,41.873,TIC,21251,28718,0.74,0, V ,,
41.882,41.873,41.887,TIC,17147,24405,0.7,0, V ,,
41.913,41.887,42.007,TIC,175806,36862,4.77,0.01, V ,,
42.017,42.007,42.04,TIC,45045,28160,1.6,0, V ,,
42.067,42.04,42.12,TIC,262592,79180,3.32,0.02, V ,,
42.135,42.12,42.16,TIC,64345,38283,1.68,0, V ,,
42.193,42.16,42.203,TIC,68380,31977,2.14,0, V ,,
42.25,42.203,42.253,TIC,87522,30157,2.9,0.01, V ,,
42.312,42.253,42.327,TIC,130641,40422,3.23,0.01, V ,,
42.333,42.327,42.337,TIC,16969,35688,0.48,0, V ,,
42.342,42.337,42.363,TIC,47866,40743,1.17,0, V ,,
42.389,42.363,42.397,TIC,60327,37578,1.61,0, V ,,
42.419,42.397,42.457,TIC,108341,41401,2.62,0.01, V ,,
42.467,42.457,42.47,TIC,21579,37826,0.57,0, V ,,
42.487,42.47,42.523,TIC,100595,36100,2.79,0.01, V ,,
42.55,42.523,42.563,TIC,78821,37567,2.1,0.01, V ,,
42.58,42.563,42.59,TIC,58933,45123,1.31,0, V ,,
42.606,42.59,42.61,TIC,41718,39339,1.06,0, V ,,
42.613,42.61,42.62,TIC,21633,45109,0.48,0, V ,,
42.627,42.62,42.647,TIC,58154,38588,1.51,0, V ,,
42.683,42.647,42.7,TIC,109533,38716,2.83,0.01, V ,,
42.716,42.7,42.73,TIC,66864,42476,1.57,0, V ,,
42.75,42.73,42.76,TIC,65836,41011,1.61,0, V ,,
42.79,42.76,42.813,TIC,120865,47632,2.54,0.01, V ,,
42.817,42.813,42.833,TIC,41690,37153,1.12,0, V ,,
42.862,42.833,42.873,TIC,84905,46727,1.82,0.01, V ,,
42.889,42.873,42.893,TIC,43743,43412,1.01,0, V ,,
42.899,42.893,42.907,TIC,33997,50125,0.68,0, V ,,
42.913,42.907,42.92,TIC,29914,43235,0.69,0, V ,,
42.93,42.92,42.933,TIC,30846,41140,0.75,0, V ,,
42.941,42.933,42.947,TIC,32372,44586,0.73,0, V ,,
42.951,42.947,42.97,TIC,54244,41625,1.3,0, V ,,
42.976,42.97,43,TIC,68320,41260,1.66,0, V ,,
43.021,43,43.027,TIC,62085,44016,1.41,0, V ,,
43.033,43.027,43.05,TIC,59493,45291,1.31,0, V ,,
43.057,43.05,43.06,TIC,23801,44737,0.53,0, V ,,
43.083,43.06,43.107,TIC,93746,32041,2.93,0.01, V ,,
43.124,43.107,43.133,TIC,49190,45343,1.08,0, V ,,
43.142,43.133,43.183,TIC,92430,38480,2.4,0.01, V ,,
43.19,43.183,43.197,TIC,28064,39279,0.71,0, V ,,
43.203,43.197,43.22,TIC,48523,40865,1.19,0, V ,,
43.231,43.22,43.25,TIC,54193,36021,1.5,0, V ,,
43.276,43.25,43.293,TIC,85184,40631,2.1,0.01, V ,,
43.302,43.293,43.323,TIC,60115,37843,1.59,0, V ,,
43.347,43.323,43.363,TIC,74809,32173,2.33,0.01, V ,,
43.378,43.363,43.383,TIC,38841,35918,1.08,0, V ,,
43.388,43.383,43.407,TIC,49286,43582,1.13,0, V ,,
43.442,43.407,43.447,TIC,84605,40682,2.08,0.01, V ,,
43.452,43.447,43.46,TIC,24480,39900,0.61,0, V ,,
43.468,43.46,43.49,TIC,58263,32308,1.8,0, V ,,
43.529,43.49,43.563,TIC,142763,39077,3.65,0.01, V ,,
43.589,43.563,43.6,TIC,56853,43885,1.3,0, V ,,
43.619,43.6,43.627,TIC,55023,45962,1.2,0, V ,,
43.64,43.627,43.657,TIC,60888,46358,1.31,0, V ,,
43.679,43.657,43.713,TIC,110405,39653,2.78,0.01, V ,,
43.717,43.713,43.72,TIC,8752,28139,0.31,0, V ,,
43.745,43.72,43.75,TIC,54876,37652,1.46,0, V ,,
43.759,43.75,43.763,TIC,23049,34509,0.67,0, V ,,
43.769,43.763,43.777,TIC,22909,33033,0.69,0, V ,,
43.79,43.777,43.843,TIC,120743,33554,3.6,0.01, V ,,
43.862,43.843,43.873,TIC,48130,29425,1.64,0, V ,,
43.9,43.873,43.917,TIC,96605,47783,2.02,0.01, V ,,
43.919,43.917,43.923,TIC,21326,58938,0.36,0, V ,,
43.933,43.923,43.937,TIC,40162,52181,0.77,0, V ,,
43.942,43.937,43.983,TIC,120354,53449,2.25,0.01, V ,,
43.989,43.983,44.017,TIC,49253,36919,1.33,0, V ,,
44.028,44.017,44.033,TIC,18121,21959,0.83,0, V ,,
44.04,44.033,44.053,TIC,25875,30496,0.85,0, V ,,
44.057,44.053,44.063,TIC,15674,28603,0.55,0, V ,,
44.07,44.063,44.087,TIC,33043,31778,1.04,0, V ,,
44.099,44.087,44.103,TIC,21792,27397,0.8,0, V ,,
44.108,44.103,44.15,TIC,63085,31838,1.98,0, V ,,
44.157,44.15,44.167,TIC,18933,30016,0.63,0, V ,,
44.169,44.167,44.173,TIC,6074,18527,0.33,0, V ,,
44.179,44.173,44.187,TIC,18796,27953,0.67,0, V ,,
44.206,44.187,44.223,TIC,45219,26673,1.7,0, V ,,
44.248,44.223,44.257,TIC,46437,31582,1.47,0, V ,,
44.262,44.257,44.27,TIC,15891,28961,0.55,0, V ,,
44.287,44.27,44.29,TIC,26961,23882,1.13,0, V ,,
44.293,44.29,44.297,TIC,9613,24695,0.39,0, V ,,
44.299,44.297,44.323,TIC,37302,28454,1.31,0, V ,,
44.337,44.323,44.347,TIC,32139,31891,1.01,0, V ,,
44.364,44.347,44.377,TIC,40117,26353,1.52,0, V ,,
44.407,44.377,44.427,TIC,64420,20470,3.15,0, V ,,
44.449,44.427,44.497,TIC,115192,47051,2.45,0.01, V ,,
44.511,44.497,44.537,TIC,28287,19558,1.45,0, V ,,
44.548,44.537,44.553,TIC,19996,22771,0.88,0, V ,,
44.556,44.553,44.563,TIC,11048,26679,0.41,0, V ,,
44.569,44.563,44.573,TIC,9639,22358,0.43,0, V ,,
44.58,44.573,44.587,TIC,13947,27774,0.5,0, V ,,
44.612,44.587,44.617,TIC,17199,17739,0.97,0, V ,,
44.634,44.617,44.64,TIC,20629,20026,1.03,0, V ,,
44.644,44.64,44.647,TIC,6565,17236,0.38,0, V ,,
44.649,44.647,44.67,TIC,23953,32223,0.74,0, V ,,
44.682,44.67,44.687,TIC,15760,20343,0.77,0, V ,,
44.693,44.687,44.7,TIC,12077,19118,0.63,0, V ,,
44.703,44.7,44.723,TIC,18414,16049,1.15,0, V ,,
44.733,44.723,44.737,TIC,5957,14022,0.42,0, V ,,
44.742,44.737,44.75,TIC,13764,25556,0.54,0, V ,,
44.775,44.75,44.793,TIC,34334,18008,1.91,0, V ,,
44.816,44.793,44.837,TIC,27657,20094,1.38,0, V ,,
44.84,44.837,44.847,TIC,7523,17368,0.43,0, V ,,
44.905,44.847,44.913,TIC,64799,27883,2.32,0, V ,,
44.923,44.913,44.947,TIC,28222,22118,1.28,0, V ,,
44.984,44.947,45.01,TIC,36589,20271,1.8,0, V ,,
45.026,45.01,45.06,TIC,35897,21354,1.68,0,   ,,
